query_id,recall
1,0.1724
2,0.2000
3,0.8889
4,1.0000
5,0.6000
6,0.0000
7,0.5000
8,0.0000
9,0.0000
10,0.5556
11,0.3750
12,0.3333
13,0.2000
14,0.0000
15,0.6667
16,0.5000
17,0.3333
18,0.0000
19,0.0000
20,0.6000
21,0.6000
22,0.0000
23,0.1212
24,0.7500
25,0.5000
26,0.1429
27,0.0000
28,0.0000
29,0.4000
30,0.1250
31,0.5000
32,0.1429
33,0.5000
34,0.7143
35,0.2500
36,0.6667
37,0.2000
38,0.0909
39,0.2143
40,0.2308
41,0.5000
42,0.6667
43,0.5714
44,0.0000
45,0.0000
46,0.0000
47,0.1333
48,0.0833
49,0.6667
50,0.0000
51,0.3636
52,0.6000
53,0.1818
54,0.2000
55,0.0000
56,0.2727
57,0.1333
58,0.0000
59,0.0000
60,0.3333
61,0.5000
62,0.1667
63,0.0000
64,0.0000
65,0.1875
66,0.1667
67,0.0667
68,0.1667
69,0.0000
70,0.0909
71,0.0000
72,0.0000
73,0.2381
74,0.1429
75,0.1667
76,0.0000
77,0.4286
78,0.5000
79,0.3333
80,0.6000
81,0.0000
82,0.3333
83,0.0000
84,0.0000
85,0.0000
86,1.0000
87,0.1111
88,1.0000
89,0.1429
90,0.0000
91,0.5000
92,0.5714
93,1.0000
94,0.0000
95,0.3333
96,0.0000
97,0.4545
98,0.1667
99,0.6000
100,0.5000
101,1.0000
102,0.2000
103,0.3333
104,0.3333
105,0.6667
106,0.3333
107,0.3750
108,0.5000
109,0.1667
110,0.2000
111,0.2500
112,0.6667
113,0.0000
114,0.2000
115,0.2000
116,0.1667
117,0.0000
118,0.2500
119,0.0000
120,0.3000
121,0.1250
122,0.4000
123,0.6667
124,0.2000
125,0.0000
126,0.2222
127,0.0000
128,0.3333
129,0.6250
130,0.8333
131,0.3333
132,0.3125
133,0.1250
134,0.6667
135,0.4444
136,0.2500
137,0.6000
138,1.0000
139,0.2000
140,0.1429
141,0.1429
142,0.0000
143,0.0000
144,0.8571
145,0.6250
146,1.0000
147,0.3636
148,0.5714
149,0.4167
150,1.0000
151,0.0000
152,0.0000
153,0.1250
154,1.0000
155,0.5714
156,0.5333
157,0.0250
158,0.2222
159,0.2222
160,0.3333
161,0.1429
162,0.1111
163,0.7500
164,0.0000
165,0.3333
166,0.0000
167,0.3333
168,0.3333
169,0.4000
170,0.4286
171,0.5000
172,1.0000
173,0.0000
174,0.1667
175,0.3333
176,0.2500
177,1.0000
178,0.6000
179,0.2000
180,0.5000
181,0.0000
182,0.6667
183,0.6429
184,0.0000
185,0.8000
186,0.1765
187,0.2857
188,0.4167
189,0.3000
190,0.1667
191,0.3571
192,0.8000
193,0.6000
194,0.1429
195,0.2500
196,0.0000
197,1.0000
198,0.2000
199,0.0000
200,1.0000
201,0.2353
202,0.0667
203,0.0000
204,0.0000
205,0.0000
206,0.7500
207,0.0000
208,0.5714
209,0.2308
210,0.2857
211,0.1667
212,0.0000
213,0.1667
214,0.6000
215,0.3333
216,0.0000
217,0.0000
218,0.0000
219,0.0000
220,0.1000
221,0.0000
222,0.1000
223,0.2000
224,0.0000
225,0.0000
